English,Nepali
Cholesterol,रगतको नशामा बोसो जम्नु
Hypertension,उच्च रक्त-चाप
Prescription,औषधि पर्ची
Consultation,परामर्श
Database,आंकडा / तथ्यांक 
Similar Medicine,उस्तै खालको औषधि
Tablet,चक्की
Book,स्थान सुरक्षित गर्नु 
Appointment,भेटवार्ता
Result,नतीजा
Blood Test,रक्त परीक्षण
Customer Service,ग्राहक सेवा अधिकृत
Lodge,दायर गर्नु
Complaint,उजुरी / गुनासो
Note,टिप्पणी / टिपोट
Reasonable Price,उचित मूल्य
Salesperson,बिक्रि प्रतिनिधि
Installment,किस्ता
Paperwork,कागजी काम
Deposit,जम्मा गर्नु / धितो
Consumer Protection Law,उपभोक्ता संरक्षण कानुन
Register,दर्ता गर्नु
Investgate,अनुसन्धान गर्नु
Agent,मध्यस्थ
Ambassador,"राजदूत, दूत"
Application,निेवेदन / आवेदन
Assess,मुल्याङ्कन
Assimilate into society,समाजमा आत्मसात गर्नु
Asylum seeker,शरण खोज्ने व्यक्ति
Bridging visa,ब्रिजिङ प्रवेशाज्ञा
Citizenship,नागरिकता
Condition,अवस्था
Consul,वाणिज्य दूत
Consulate,वाणिज्य दूतावास
Consul general,महा-वाणिज्यदूत
Consulate general,महा-वाणिज्य दूतावास
Court,अदालत
Custody,हिरासत
Customs,भन्सार
Department of Immigration and Border Protection,अध्यागमन तथा सीमा संरक्षण विभाग
Deport (deportation),"निर्वासन, देशनिकाला गर्नु"
Detention centre,"थुनुवा केन्द्र, हिरासत केन्द्र"
Document,"कागजात, कागजपत्र"
Dual citizenship,दोहोरो नागरिकता
Duplicate,"प्रतिलिपी, नक्कली"
Embassy,दूतावास
Evidence of identity,पहिचानको प्रमाण
Expression of Interest (EOI),ईच्छाको अभिव्यक्ति
Fake/forged,जाली
Family reunion,पारिवारिक पुनर्मिलन
Green card,ग्रीन कार्ड
Humanitarian,मानविय
Illegal,"अवैध , गैरकानुनी"
Illegal immigration,अवैध अध्यागमन / गैरकानूनी अध्यागमन
Immigrants,आप्रवासी
Immigration,अध्यागमन
Interview,अन्तर्वार्ता
Lawyer,वकिल
Legal,कानुनी
Nationality,राष्ट्रियता
Offshore processing,समुन्द्र छेउबाट प्रक्रिया गर्ने
Partner Immigration,साझेदार अध्यागमन
Passport,राहदानी
Permanent residence,स्थायी आवास
Persecution,उत्पीडन / सताउनु / सास्ती दिनु 
Process,प्रक्रिया
Refugee,शरणार्थी
Refugee camp,शरणार्थी  शिविर
Refugee Center,आश्रय केन्द्र
Requirements,आवश्यकता
Shelter,आश्रय
Skilled migration,सीपयुक्त प्रवास
Sponsorship,प्रायोजन
Testimony,गवाही
Visa overstay ,प्रवेशाज्ञाको अवधि नाँघेको
Visa rejection ,प्रवेशाज्ञा अस्वीकृत
Witness,साक्षी
Working holiday,काम गर्ने बिदा
